[2025-04-24 19:38:47] | method: caesar | decrypt: False | param: 123123 | text: asda | result: nfqn
[2025-04-24 19:38:54] | method: caesar | decrypt: False | param: 123123 | text: aasdasdasdsadasdsda | result: nnfqnfqnfqfnqnfqfqn
[2025-04-24 19:38:57] | method: caesar | decrypt: False | param: 123122223 | text: aasdasdasdsadasdsda | result: ddvgdvgdvgvdgdvgvgd
[2025-04-24 19:52:01] | method: atbash | decrypt: False | param:  | text: asda | result: zhwz
[2025-04-24 19:52:06] | method: atbash | decrypt: False | param:  | text: asdsadasdsad | result: zhwhzwzhwhzw
[2025-04-24 20:03:47] | method: caesar | decrypt: False | param:  | text:  | result: 
[2025-04-24 20:03:47] | method: caesar | decrypt: False | param:  | text:  | result: 
[2025-04-24 20:03:48] | method: caesar | decrypt: False | param:  | text:  | result: 
[2025-04-24 20:03:48] | method: caesar | decrypt: False | param:  | text:  | result: 
[2025-04-24 20:03:48] | method: caesar | decrypt: False | param:  | text:  | result: 
[2025-04-24 20:05:08] | method: caesar | decrypt: False | param:  | text:  | result: 
[2025-04-24 20:05:08] | method: caesar | decrypt: False | param:  | text:  | result: 
[2025-04-24 20:05:08] | method: caesar | decrypt: False | param:  | text:  | result: 
[2025-04-24 20:05:08] | method: caesar | decrypt: False | param:  | text:  | result: 
[2025-04-24 20:07:35] | method: caesar | decrypt: False | param:  | text:  | result: 
[2025-04-24 20:07:35] | method: caesar | decrypt: False | param:  | text:  | result: 
[2025-04-24 20:07:59] | method: caesar | decrypt: False | param:  | text:  | result: 
[2025-04-24 20:07:59] | method: caesar | decrypt: False | param:  | text:  | result: 
[2025-04-24 20:16:45] | method: caesar | decrypt: False | param:  | text:  | result: 
[2025-04-24 20:32:39] | method: caesar | decrypt: False | param: 123 | text: asdad | result: tlwtw
[2025-04-24 20:33:04] | method: caesar | decrypt: False | param: 123 | text: asdasd | result: tlwtlw
[2025-04-24 20:38:27] | method: caesar | decrypt: False | param: 0 | text:  | result: 
[2025-04-24 20:38:27] | method: caesar | decrypt: False | param: 0 | text:  | result: 
[2025-04-24 20:38:28] | method: caesar | decrypt: False | param: 0 | text:  | result: 
[2025-04-24 20:38:28] | method: caesar | decrypt: False | param: 0 | text:  | result: 
[2025-04-24 20:39:19] | method: caesar | decrypt: False | param: 0 | text:  | result: 
[2025-04-24 20:39:19] | method: caesar | decrypt: False | param: 0 | text:  | result: 
[2025-04-24 20:39:19] | method: caesar | decrypt: False | param: 0 | text:  | result: 
[2025-04-24 20:39:19] | method: caesar | decrypt: False | param: 0 | text:  | result: 
[2025-04-24 20:39:19] | method: caesar | decrypt: False | param: 0 | text:  | result: 
[2025-04-24 20:39:20] | method: caesar | decrypt: False | param: 0 | text:  | result: 
[2025-04-24 20:39:27] | method: caesar | decrypt: False | param: 0 | text:  | result: 
[2025-04-24 20:39:27] | method: caesar | decrypt: False | param: 0 | text:  | result: 
[2025-04-24 20:39:27] | method: caesar | decrypt: False | param: 0 | text:  | result: 
[2025-04-24 20:39:27] | method: caesar | decrypt: False | param: 0 | text:  | result: 
[2025-04-24 20:53:10] | method: caesar | decrypt: False | param: 123 | text: asdsad | result: tlwltw
[2025-04-24 20:53:19] | method: caesar | decrypt: False | param: 123 | text: я ебал твою мать | result: ц ьшчг йщёх дчйу
[2025-04-24 20:55:46] | method: caesar | decrypt: False | param: 123 | text: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore  | result: Ehkxf bilnf whehk lbm tfxm, vhglxvmxmnk twbiblvbgz xebm, lxw wh xbnlfhw mxfihk bgvbwbwngm nm etuhkx 
[2025-04-24 20:56:10] | method: caesar | decrypt: True | param: 123 | text: Ehkxf bilnf whehk lbm tfxm, vhglxvmxmnk twbiblvbgz xebm, lxw wh xbnlfhw mxfihk bgvbwbwngm nm etuhkx  | result: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore 
